TableID,Capacity,Location,Status,LastUsedTime
T02,2,Bar Area,Occupied,11-07-2025 11:31
T19,8,Balcony,Cleaning,09-07-2025 18:00
T15,2,Garden View,Cleaning,11-07-2025 09:35
T14,8,Garden View,Occupied,14-07-2025 01:16
T16,8,Garden View,Available,14-07-2025 09:49
T05,2,Balcony,Cleaning,11-07-2025 10:52
T16,4,Corner Back,Reserved,10-07-2025 06:00
T01,2,Bar Area,Cleaning,08-07-2025 03:26
T03,2,Bar Area,Available,13-07-2025 16:13
T11,8,Center,Occupied,11-07-2025 02:05
T07,4,Window Left,Reserved,12-07-2025 20:32
T07,4,Window Left,Reserved,14-07-2025 01:18
T11,2,Window Left,Occupied,08-07-2025 21:14
T19,4,Window Left,Occupied,10-07-2025 20:38
T07,4,Window Left,Available,09-07-2025 12:11
T04,2,Balcony,Cleaning,08-07-2025 00:10
T02,2,Bar Area,Cleaning,11-07-2025 22:08
T09,6,Center,Available,11-07-2025 06:58
T11,6,Window Left,Reserved,12-07-2025 05:55
T20,6,Bar Area,Available,14-07-2025 03:16
T12,6,Balcony,Cleaning,13-07-2025 06:11
T14,4,Garden View,Cleaning,07-07-2025 20:28
T17,6,Center,Available,09-07-2025 02:53
T17,2,Window Right,Occupied,11-07-2025 21:14
T20,2,Bar Area,Occupied,14-07-2025 00:56
T09,4,Patio,Cleaning,10-07-2025 07:41
T20,4,Center,Cleaning,12-07-2025 03:58
T18,8,Garden View,Cleaning,12-07-2025 13:21
T13,8,Window Right,Occupied,10-07-2025 05:17
T17,8,Patio,Cleaning,11-07-2025 21:55
T16,6,Garden View,Available,13-07-2025 06:36
T11,4,Window Left,Available,10-07-2025 03:08
T19,6,Balcony,Occupied,07-07-2025 19:21
T08,8,Patio,Reserved,09-07-2025 05:09
T06,2,Garden View,Available,09-07-2025 18:14
T17,8,Bar Area,Occupied,12-07-2025 09:17
T04,2,Balcony,Available,08-07-2025 22:02
T17,2,Window Left,Cleaning,09-07-2025 06:25
T14,6,Bar Area,Cleaning,09-07-2025 19:11
T07,4,Window Left,Reserved,08-07-2025 11:51
T05,2,Balcony,Available,07-07-2025 23:45
T13,4,Window Left,Available,09-07-2025 10:30
T19,8,Window Left,Reserved,10-07-2025 00:01
T10,6,Center,Available,12-07-2025 21:09
T02,2,Bar Area,Reserved,08-07-2025 23:03
T02,2,Bar Area,Available,11-07-2025 06:27
T06,2,Garden View,Cleaning,11-07-2025 18:14
T03,2,Bar Area,Cleaning,07-07-2025 15:26
T03,2,Bar Area,Occupied,12-07-2025 11:46
T11,8,Window Right,Occupied,13-07-2025 23:34
T07,4,Window Left,Cleaning,12-07-2025 08:16
T10,8,Balcony,Occupied,12-07-2025 20:28
T15,6,Patio,Occupied,07-07-2025 19:52
T20,6,Garden View,Occupied,09-07-2025 20:04
T19,4,Window Right,Available,12-07-2025 13:20
T05,2,Balcony,Available,13-07-2025 17:49
T15,4,Garden View,Cleaning,13-07-2025 05:06
T08,2,Window Right,Available,10-07-2025 21:10
T13,6,Balcony,Occupied,11-07-2025 03:24
T16,4,Center,Cleaning,13-07-2025 20:21
T05,2,Balcony,Reserved,10-07-2025 23:52
T02,2,Bar Area,Reserved,08-07-2025 12:31
T08,2,Patio,Cleaning,08-07-2025 15:32
T18,2,Patio,Reserved,08-07-2025 12:32
T20,6,Center,Occupied,14-07-2025 06:13
T07,4,Window Left,Reserved,11-07-2025 11:44
T16,8,Corner Back,Cleaning,08-07-2025 09:30
T12,6,Corner Back,Available,08-07-2025 12:49
T09,2,Garden View,Cleaning,11-07-2025 15:23
T10,2,Window Right,Reserved,13-07-2025 05:13
T03,2,Bar Area,Cleaning,12-07-2025 16:03
T13,2,Corner Back,Available,08-07-2025 19:01
T20,2,Window Right,Available,08-07-2025 04:32
T05,2,Balcony,Available,11-07-2025 03:40
T12,8,Corner Back,Occupied,12-07-2025 19:04
T11,6,Window Left,Reserved,10-07-2025 21:06
T04,2,Balcony,Reserved,13-07-2025 12:02
T09,4,Patio,Cleaning,10-07-2025 05:34
T05,2,Balcony,Cleaning,07-07-2025 22:03
T11,4,Patio,Reserved,13-07-2025 21:18
T18,6,Center,Cleaning,08-07-2025 03:29
T02,2,Bar Area,Cleaning,14-07-2025 01:43
T02,2,Bar Area,Occupied,07-07-2025 16:43
T06,2,Garden View,Occupied,09-07-2025 13:06
T12,4,Window Left,Occupied,10-07-2025 22:51
T18,8,Bar Area,Occupied,12-07-2025 06:34
T17,4,Balcony,Available,12-07-2025 07:22
T18,8,Corner Back,Reserved,11-07-2025 11:25
T16,8,Center,Occupied,09-07-2025 07:14
T14,2,Bar Area,Available,08-07-2025 22:57
T05,2,Balcony,Cleaning,12-07-2025 03:05
T09,6,Center,Available,13-07-2025 04:39
T10,8,Balcony,Reserved,12-07-2025 13:25
T11,8,Patio,Reserved,10-07-2025 08:17
T11,2,Corner Back,Cleaning,13-07-2025 14:18
T11,6,Bar Area,Reserved,07-07-2025 17:39
T17,4,Window Left,Reserved,09-07-2025 02:23
T17,2,Patio,Available,08-07-2025 15:21
