"The synthetic dataset with 15,000 restaurant reservation entries has been successfully created. It includes the following fields:",
ReservationID,
GuestID,
BookingTime,
PartySize,
"Channel (e.g., Web, Phone, Kiosk, App)",
TableID (T01 to T20),
"Status (Confirmed, No-Show, Cancelled)",
CheckInTime (only for Confirmed reservations),
,
GuestID vs ReservationID,
One guest can have mutiple reservation over time,
ReservationID is used to track and act on a specific visit,
GuestID gives access to all previous behavior helps with personalization,
,
,
Features,Use in model
ReservationID,Not used as a feature (it’s a row ID only)
GuestID,"Used to join guest history (VIP level, past behaviour)"
"BookingTime, Channel, Partysize, etc",Direct input features
Historical No-Shows (via GuestID),Engineered feature (e.g past_no_show_count)
"Avg, Arrival Delay (via GuestID)",Feature to capture behavioral pattern
